task,split,kind,layer,head,bonded_share,self_share,dummy_share,dist_corr_spearman,entropy,n_molecules
bbbp,random,self_attn,0,0,0.08169850707054138,0.030636265873908997,0.004554299637675285,-0.11750903980561139,1.3470206260681152,391
bbbp,random,self_attn,0,1,0.06771241873502731,0.05020628124475479,0.26123636960983276,0.047326094155928734,0.9295799732208252,391
bbbp,random,self_attn,0,2,0.09870494157075882,0.029972607269883156,0.00879909098148346,0.0011945182543009105,0.8198292255401611,391
bbbp,random,self_attn,0,3,0.07503186166286469,0.03729237616062164,0.24989518523216248,-0.009551500750714557,1.8827260732650757,391
bbbp,random,self_attn,1,0,0.0851086750626564,0.021291986107826233,0.003292779205366969,-0.014218232097033335,1.1054657697677612,391
bbbp,random,self_attn,1,1,0.10849910974502563,0.04975241795182228,0.04446619376540184,-0.02752704790828597,1.7661572694778442,391
bbbp,random,self_attn,1,2,0.07093219459056854,0.04066801071166992,0.03357837349176407,-0.16259552977854827,1.781808853149414,391
bbbp,random,self_attn,1,3,0.12552455067634583,0.05860242247581482,0.006533728912472725,-0.00802752470811509,1.7017110586166382,391
bbbp,random,self_attn,2,0,0.046382199972867966,0.01767769455909729,0.02624374069273472,-0.1880381038505461,1.0264558792114258,391
bbbp,random,self_attn,2,1,0.042933978140354156,0.013426123186945915,0.01910005696117878,-0.21105780324722628,1.349240779876709,391
bbbp,random,self_attn,2,2,0.10153122246265411,0.052627310156822205,0.03963610902428627,-0.020356850633336195,1.9220738410949707,391
bbbp,random,self_attn,2,3,0.06499283760786057,0.0328795500099659,0.01852424070239067,-0.23121820286444292,2.076718330383301,391
bbbp,random,self_attn,3,0,0.09190649539232254,0.04598688706755638,0.022487275302410126,0.004946790987336218,2.0064549446105957,391
bbbp,random,self_attn,3,1,0.11356393992900848,0.051903922110795975,0.004444687161594629,0.11277773137762138,1.7217693328857422,391
bbbp,random,self_attn,3,2,0.060449693351984024,0.035979676991701126,0.03865479677915573,-0.22868537539704306,1.1216835975646973,391
bbbp,random,self_attn,3,3,0.10123541951179504,0.05059484764933586,0.00946896243840456,-0.0008946821163100146,1.7598382234573364,391
bbbp,random,attn,0,0,0.33366233110427856,0.2984811067581177,0.0015029188944026828,0.5810047218086458,1.9775663614273071,391
bbbp,random,attn,0,1,0.32904693484306335,0.30493924021720886,0.08620800077915192,0.7289388417557934,1.8588043451309204,391
bbbp,random,attn,0,2,0.33927446603775024,0.2982621192932129,0.0029036998748779297,0.7000801282461689,1.8261505365371704,391
bbbp,random,attn,0,3,0.3314623534679413,0.300677627325058,0.08246542513370514,0.6117032015258784,2.1175527572631836,391
bbbp,random,attn,1,0,0.33478766679763794,0.2953975200653076,0.0010866172378882766,0.6468816075286412,1.913337230682373,391
bbbp,random,attn,1,1,0.3425064980983734,0.3047894537448883,0.014673844911158085,0.5543609712548161,2.059087038040161,391
bbbp,random,attn,1,2,0.3301094174385071,0.30179160833358765,0.011080863885581493,0.4971513042959555,2.0962657928466797,391
bbbp,random,attn,1,3,0.3481249511241913,0.3077099621295929,0.00215613073669374,0.55927935041186,2.0300374031066895,391
bbbp,random,attn,2,0,0.322007954120636,0.29420480132102966,0.008660435676574707,0.6008791195664469,1.9205434322357178,391
bbbp,random,attn,2,1,0.320870041847229,0.29280176758766174,0.006303018890321255,0.526539434026162,2.020662307739258,391
bbbp,random,attn,2,2,0.3402070999145508,0.3057381808757782,0.013079916127026081,0.5617965574675539,2.0948333740234375,391
bbbp,random,attn,2,3,0.3281494379043579,0.2992214262485504,0.006112999748438597,0.4487933233987422,2.18276047706604,391
bbbp,random,attn,3,0,0.33703094720840454,0.30354684591293335,0.007420800626277924,0.6041631082244581,2.124077558517456,391
bbbp,random,attn,3,1,0.3441779613494873,0.30549946427345276,0.001466746791265905,0.6591812541189338,2.0302329063415527,391
bbbp,random,attn,3,2,0.3266502022743225,0.30024445056915283,0.012756084091961384,0.5535869711843712,1.9295897483825684,391
bbbp,random,attn,3,3,0.3401094675064087,0.3050674498081207,0.0031247579026967287,0.6167919499867662,2.0539422035217285,391
