task,split,layer,atom_class,mean_attention_received,n_molecules
bbbp,random,0,aromatic,0.020021893084049225,306
bbbp,random,0,heteroatom,0.09903597086668015,390
bbbp,random,0,ring,0.024979466572403908,373
bbbp,random,0,halogen,0.147234708070755,134
bbbp,random,0,carbon_aliphatic,0.030687430873513222,384
bbbp,random,0,dummy,0.13112123310565948,391
bbbp,random,1,aromatic,0.04303998127579689,306
bbbp,random,1,heteroatom,0.06596962362527847,390
bbbp,random,1,ring,0.04551489278674126,373
bbbp,random,1,halogen,0.035267461091279984,134
bbbp,random,1,carbon_aliphatic,0.042970869690179825,384
bbbp,random,1,dummy,0.021967768669128418,391
bbbp,random,2,aromatic,0.03848988190293312,306
bbbp,random,2,heteroatom,0.07877953350543976,390
bbbp,random,2,ring,0.03430553898215294,373
bbbp,random,2,halogen,0.024247514083981514,134
bbbp,random,2,carbon_aliphatic,0.04937039688229561,384
bbbp,random,2,dummy,0.025876037776470184,391
bbbp,random,3,aromatic,0.016970600932836533,306
bbbp,random,3,heteroatom,0.05877659097313881,390
bbbp,random,3,ring,0.03697369247674942,373
bbbp,random,3,halogen,0.03680482134222984,134
bbbp,random,3,carbon_aliphatic,0.08163093030452728,384
bbbp,random,3,dummy,0.018763933330774307,391
