task,split,kind,layer,head,bonded_share,self_share,dummy_share,dist_corr_spearman,entropy,n_molecules
esol,random,self_attn,0,0,0.12384314835071564,0.0856868252158165,0.09131485968828201,-0.06562509517545319,1.2293367385864258,223
esol,random,self_attn,0,1,0.10191909968852997,0.059056609869003296,0.42736610770225525,0.10065409834470337,1.800476312637329,223
esol,random,self_attn,0,2,0.13800394535064697,0.09509453177452087,0.007450398989021778,-0.09818489880592746,0.8666320443153381,223
esol,random,self_attn,0,3,0.11865494400262833,0.06136876717209816,0.4120345115661621,0.09626599537836271,1.4645620584487915,223
esol,random,self_attn,1,0,0.0932595431804657,0.06383160501718521,0.4133163392543793,-0.02183959006468021,1.661403775215149,223
esol,random,self_attn,1,1,0.07937588542699814,0.04959814250469208,0.5110203623771667,-0.2627319917516021,1.239343285560608,223
esol,random,self_attn,1,2,0.09448820352554321,0.04646090790629387,0.39275166392326355,-0.13804478095539155,1.3399778604507446,223
esol,random,self_attn,1,3,0.10043630748987198,0.08823488652706146,0.378699392080307,-0.10640464327774331,1.6369407176971436,223
esol,random,self_attn,2,0,0.06352303177118301,0.0359705425798893,0.7080851197242737,-0.24951877321934135,0.7322893142700195,223
esol,random,self_attn,2,1,0.0670461505651474,0.0628797709941864,0.4324352741241455,-0.34611415768442066,0.9193161725997925,223
esol,random,self_attn,2,2,0.08664368838071823,0.043707121163606644,0.5614522099494934,-0.17460931438282198,1.1250561475753784,223
esol,random,self_attn,2,3,0.17942047119140625,0.10526655614376068,0.04458357393741608,0.051333714781021035,2.300832986831665,223
esol,random,self_attn,3,0,0.2339770793914795,0.09807591140270233,0.003262203885242343,0.3345030531113716,1.6895781755447388,223
esol,random,self_attn,3,1,0.1885547786951065,0.07986046373844147,0.010933523066341877,0.15493007436708853,1.9347115755081177,223
esol,random,self_attn,3,2,0.030850136652588844,0.03578101098537445,0.7946393489837646,-0.2949208189484821,0.6357871294021606,223
esol,random,self_attn,3,3,0.20988385379314423,0.09442424029111862,0.012691271491348743,0.20864675390262039,1.6601860523223877,223
esol,random,attn,0,0,0.3392569422721863,0.3408385217189789,0.03013390302658081,0.6539466734905621,1.7474244832992554,223
esol,random,attn,0,1,0.3320220112800598,0.33205050230026245,0.14103083312511444,0.790669647230381,1.9039502143859863,223
esol,random,attn,0,2,0.3439299464225769,0.3439430296421051,0.0024586317595094442,0.6061399104309146,1.6521070003509521,223
esol,random,attn,0,3,0.3375447988510132,0.3328135311603546,0.13597141206264496,0.7316185226225497,1.8200613260269165,223
esol,random,attn,1,0,0.3291642963886261,0.33362627029418945,0.13639439642429352,0.7214528066476673,1.871998906135559,223
esol,random,attn,1,1,0.32458269596099854,0.32892918586730957,0.16863670945167542,0.674716048535528,1.788084626197815,223
esol,random,attn,1,2,0.3295697569847107,0.3278939425945282,0.12960806488990784,0.6782454530467426,1.8061379194259644,223
esol,random,attn,1,3,0.33153262734413147,0.3416793644428253,0.12497081607580185,0.6637215902970947,1.8508604764938354,223
esol,random,attn,2,0,0.3193512558937073,0.3244321048259735,0.23366813361644745,0.7962158715857937,1.6685457229614258,223
esol,random,attn,2,1,0.32051387429237366,0.33331212401390076,0.14270366728305817,0.6538547652264906,1.7190721035003662,223
esol,random,attn,2,2,0.3269810676574707,0.3269851803779602,0.1852792352437973,0.7171147217486001,1.7558650970458984,223
esol,random,attn,2,3,0.3575974106788635,0.3472997844219208,0.014712578617036343,0.7344709383576821,1.940696120262146,223
esol,random,attn,3,0,0.37560105323791504,0.3449269235134125,0.0010765272891148925,0.7967232153027428,1.782110571861267,223
esol,random,attn,3,1,0.3606117069721222,0.33891576528549194,0.0036080635618418455,0.7292561368402768,1.8682881593704224,223
esol,random,attn,3,2,0.30856919288635254,0.32436954975128174,0.2622309923171997,0.7937095683459194,1.665819764137268,223
esol,random,attn,3,3,0.3676503598690033,0.34372180700302124,0.004188119433820248,0.7538232338108432,1.792757272720337,223
