task,split,layer,atom_class,mean_attention_received,n_molecules
esol,random,0,aromatic,0.03317299485206604,123
esol,random,0,heteroatom,0.2060154676437378,191
esol,random,0,ring,0.03610267490148544,155
esol,random,0,halogen,0.15267112851142883,56
esol,random,0,carbon_aliphatic,0.047318849712610245,190
esol,random,0,dummy,0.23454147577285767,223
esol,random,1,aromatic,0.02189905382692814,123
esol,random,1,heteroatom,0.09194405376911163,191
esol,random,1,ring,0.02747105248272419,155
esol,random,1,halogen,0.08221383392810822,56
esol,random,1,carbon_aliphatic,0.06986721605062485,190
esol,random,1,dummy,0.42394697666168213,223
esol,random,2,aromatic,0.0314481295645237,123
esol,random,2,heteroatom,0.05604264512658119,191
esol,random,2,ring,0.03290319815278053,155
esol,random,2,halogen,0.02098025195300579,56
esol,random,2,carbon_aliphatic,0.08204557746648788,190
esol,random,2,dummy,0.43663907051086426,223
esol,random,3,aromatic,0.08352973312139511,123
esol,random,3,heteroatom,0.032819535583257675,191
esol,random,3,ring,0.08087176829576492,155
esol,random,3,halogen,0.01041730958968401,56
esol,random,3,carbon_aliphatic,0.08151227235794067,190
esol,random,3,dummy,0.2053815722465515,223
