task,split,kind,layer,head,bonded_share,self_share,dummy_share,dist_corr_spearman,entropy,n_molecules
esol,scaffold,self_attn,0,0,0.1972775012254715,0.22595636546611786,0.01525349821895361,0.2919396651079238,1.2438597679138184,253
esol,scaffold,self_attn,0,1,0.1111094281077385,0.09205285459756851,0.03615489974617958,-0.31347034984722905,0.6830935478210449,253
esol,scaffold,self_attn,0,2,0.09588953107595444,0.06651873141527176,0.2763386368751526,-0.18843844653765315,0.6829484105110168,253
esol,scaffold,self_attn,0,3,0.15447242558002472,0.1084945872426033,0.3530629277229309,0.2100473076505391,1.0957627296447754,253
esol,scaffold,self_attn,1,0,0.024488581344485283,0.0013551176525652409,0.8428072333335876,-0.3536164808463121,0.23644517362117767,253
esol,scaffold,self_attn,1,1,0.21116384863853455,0.0316484309732914,0.0012875511310994625,0.046958054849050024,1.5067312717437744,253
esol,scaffold,self_attn,1,2,0.15208102762699127,0.043754544109106064,0.1889822781085968,-0.09301272418286058,0.9622408151626587,253
esol,scaffold,self_attn,1,3,0.18133355677127838,0.08838622272014618,0.001758749596774578,0.07580297868493828,1.1875429153442383,253
esol,scaffold,attn,0,0,0.36739757657051086,0.3822862207889557,0.005033654160797596,0.7741180211291594,1.6344372034072876,253
esol,scaffold,attn,0,1,0.3389621078968048,0.33809804916381836,0.011931116692721844,0.4947731687697467,1.6309599876403809,253
esol,scaffold,attn,0,2,0.3339395225048065,0.32967180013656616,0.09119175374507904,0.6503816854826271,1.6521486043930054,253
esol,scaffold,attn,0,3,0.3532719016075134,0.3435238301753998,0.1165107786655426,0.7936615881300781,1.7001760005950928,253
esol,scaffold,attn,1,0,0.31037724018096924,0.30816781520843506,0.27812641859054565,0.8575838669403982,1.6057463884353638,253
esol,scaffold,attn,1,1,0.37198010087013245,0.318164587020874,0.00042489185580052435,0.6584715993028066,1.7948694229125977,253
esol,scaffold,attn,1,2,0.35248273611068726,0.3221595883369446,0.06236415356397629,0.6418423642524254,1.7014058828353882,253
esol,scaffold,attn,1,3,0.3621360957622528,0.33688804507255554,0.0005803874228149652,0.7038664097610704,1.7132940292358398,253
