run_key,tag,model,task,task_type,split,seed,fold,roc_auc,pr_auc,f1,rmse,mae,r2,val_roc_auc,val_pr_auc,val_f1,val_rmse,val_mae,val_r2,best_epoch,epochs_run,n_params,wall_time_s,n_train,n_val,n_test,config,cfg_hash,max_epochs,patience,device,torch_version,error
svm|bbbp|random|42|0||e0c34a8fca,,svm,bbbp,clf,random,42,0,0.9248945761233096,0.9683361447748786,0.948220064724919,,,,0.9565315315315316,0.9864874137127144,0.944,,,,-1.0,0.0,0.0,0.6,1405,157,391,"{""C"": 10.0, ""class_weight"": ""balanced""}",e0c34a8fca,60,10,cpu,2.7.0+cpu,
svm|bbbp|random|42|1||e0c34a8fca,,svm,bbbp,clf,random,42,1,0.8928311763850516,0.9562856800683954,0.9215686274509804,,,,0.9193693693693692,0.9701395329044372,0.9465020576131687,,,,-1.0,0.0,0.0,1.1,1405,157,391,"{""C"": 10.0, ""class_weight"": ""balanced""}",e0c34a8fca,60,10,cpu,2.7.0+cpu,
svm|bbbp|random|42|2||e0c34a8fca,,svm,bbbp,clf,random,42,2,0.9414715719063546,0.9802340144564692,0.9361702127659576,,,,0.8648648648648649,0.9393456714296105,0.926829268292683,,,,-1.0,0.0,0.0,0.8,1405,157,391,"{""C"": 10.0, ""class_weight"": ""balanced""}",e0c34a8fca,60,10,cpu,2.7.0+cpu,
svm|bbbp|random|42|3||e0c34a8fca,,svm,bbbp,clf,random,42,3,0.9354625307802564,0.97768094660661,0.9446254071661238,,,,0.9033783783783784,0.9629529878086588,0.935483870967742,,,,-1.0,0.0,0.0,0.7,1406,157,390,"{""C"": 10.0, ""class_weight"": ""balanced""}",e0c34a8fca,60,10,cpu,2.7.0+cpu,
svm|bbbp|random|123|0||e0c34a8fca,,svm,bbbp,clf,random,123,0,0.9131161843827248,0.965868056221896,0.9383116883116884,,,,0.9306306306306308,0.9773263885380364,0.934959349593496,,,,-1.0,0.0,0.0,0.8,1405,157,391,"{""C"": 10.0, ""class_weight"": ""balanced""}",e0c34a8fca,60,10,cpu,2.7.0+cpu,
svm|bbbp|random|42|4||e0c34a8fca,,svm,bbbp,clf,random,42,4,0.9158155821418148,0.9705840297251846,0.919093851132686,,,,0.9457207207207208,0.9830091065899372,0.923728813559322,,,,-1.0,0.0,0.0,1.0,1406,157,390,"{""C"": 10.0, ""class_weight"": ""balanced""}",e0c34a8fca,60,10,cpu,2.7.0+cpu,
svm|bbbp|random|123|1||e0c34a8fca,,svm,bbbp,clf,random,123,1,0.9128253598953032,0.9655360905175344,0.9235772357723576,,,,0.9596846846846848,0.9873469527152348,0.9392712550607288,,,,-1.0,0.0,0.0,0.6,1405,157,391,"{""C"": 10.0, ""class_weight"": ""balanced""}",e0c34a8fca,60,10,cpu,2.7.0+cpu,
svm|bbbp|random|123|2||e0c34a8fca,,svm,bbbp,clf,random,123,2,0.9032645048713102,0.9644514809095336,0.9309791332263242,,,,0.9123873873873872,0.9647242258051034,0.931726907630522,,,,-1.0,0.0,0.0,0.6,1405,157,391,"{""C"": 10.0, ""class_weight"": ""balanced""}",e0c34a8fca,60,10,cpu,2.7.0+cpu,
svm|bbbp|random|123|3||e0c34a8fca,,svm,bbbp,clf,random,123,3,0.9385497445698116,0.9778436147272632,0.9442622950819672,,,,0.9193693693693694,0.9650566259307682,0.9411764705882352,,,,-1.0,0.0,0.0,0.8,1406,157,390,"{""C"": 10.0, ""class_weight"": ""balanced""}",e0c34a8fca,60,10,cpu,2.7.0+cpu,
svm|bbbp|random|123|4||e0c34a8fca,,svm,bbbp,clf,random,123,4,0.9436460461044646,0.9778169599627164,0.9490968801313628,,,,0.9009009009009008,0.957299462440782,0.934959349593496,,,,-1.0,0.0,0.0,0.8,1406,157,390,"{""C"": 10.0, ""class_weight"": ""balanced""}",e0c34a8fca,60,10,cpu,2.7.0+cpu,
