task,task_type,split,metric,ablation,reference,model_mean,reference_mean,n_pairs,mean_diff,diff_ci95_low,diff_ci95_high,t_stat,t_p,wilcoxon_stat,wilcoxon_p,reference_better,t_p_holm,wilcoxon_p_holm,significant_t,significant_wilcoxon,significant_t_holm,significant_wilcoxon_holm,component,contribution,contribution_ci95_low,contribution_ci95_high
bbbp,clf,random,roc_auc,mat_nograph,mat,0.8825812394526119,0.8917401020124963,5,-0.00915886255988423,-0.01971989191536501,0.001402166795596552,-2.40782202829246,0.07372852922093506,1.0,0.125,True,0.14745705844187013,0.25,False,False,False,False,graph structure,0.00915886255988423,-0.001402166795596552,0.01971989191536501
bbbp,clf,random,roc_auc,mat_nodistance,mat,0.8866369351142127,0.8917401020124963,5,-0.005103166898283518,-0.016371111721048298,0.006164777924481262,-1.257430967102498,0.2770059370627992,3.0,0.3125,True,0.2770059370627992,0.3125,False,False,False,False,3D distances,0.005103166898283518,-0.006164777924481262,0.016371111721048298
bbbp,clf,random,roc_auc,mat_noattention,mat,0.8551164435273121,0.8917401020124963,5,-0.03662365848518412,-0.052216588430840524,-0.021030728539527713,-6.521133468181227,0.002855398457011138,0.0,0.0625,True,0.008566195371033414,0.1875,True,False,True,False,self-attention,0.03662365848518412,0.021030728539527713,0.052216588430840524
bbbp,clf,random,pr_auc,mat_nograph,mat,0.9494405162219385,0.9539254046036358,5,-0.004484888381697383,-0.010692806103421975,0.0017230293400272096,-2.0058330269336966,0.11534597864046607,2.0,0.1875,True,0.23069195728093214,0.375,False,False,False,False,graph structure,0.004484888381697383,-0.0017230293400272096,0.010692806103421975
bbbp,clf,random,pr_auc,mat_nodistance,mat,0.9518671968146535,0.9539254046036358,5,-0.0020582077889825133,-0.009171311690467709,0.005054896112502681,-0.8033765597051538,0.46678228532796484,5.0,0.625,True,0.46678228532796484,0.625,False,False,False,False,3D distances,0.0020582077889825133,-0.005054896112502681,0.009171311690467709
bbbp,clf,random,pr_auc,mat_noattention,mat,0.9352929787149626,0.9539254046036358,5,-0.018632425888673178,-0.02789724460228732,-0.009367607175059035,-5.583693459705821,0.005045121898637873,0.0,0.0625,True,0.01513536569591362,0.1875,True,False,True,False,self-attention,0.018632425888673178,0.009367607175059035,0.02789724460228732
bbbp,clf,random,f1,mat_nograph,mat,0.9122977230973917,0.9182185461545466,5,-0.0059208230571548,-0.009387358813966967,-0.0024542873003426335,-4.742152208721741,0.009022879531600778,0.0,0.0625,True,0.027068638594802335,0.1875,True,False,True,False,graph structure,0.0059208230571548,0.0024542873003426335,0.009387358813966967
bbbp,clf,random,f1,mat_nodistance,mat,0.9123280515166645,0.9182185461545466,5,-0.005890494637882071,-0.012227953127351742,0.0004469638515875989,-2.5806299215555324,0.06128666289182354,0.0,0.0625,True,0.12257332578364707,0.1875,False,False,False,False,3D distances,0.005890494637882071,-0.0004469638515875989,0.012227953127351742
bbbp,clf,random,f1,mat_noattention,mat,0.9076581837337404,0.9182185461545466,5,-0.010560362420806112,-0.025215066301679072,0.004094341460066849,-2.000740976460818,0.11601832847144374,2.0,0.1875,True,0.12257332578364707,0.1875,False,False,False,False,self-attention,0.010560362420806112,-0.004094341460066849,0.025215066301679072
bbbp,clf,scaffold,roc_auc,mat_nograph,mat,0.8745758973316985,0.8764685347001689,5,-0.00189263736847054,-0.006979702886816359,0.0031944281498752793,-1.032973477273632,0.359976957462845,5.0,0.625,True,0.6962776727407907,0.875,False,False,False,False,graph structure,0.00189263736847054,-0.0031944281498752793,0.006979702886816359
bbbp,clf,scaffold,roc_auc,mat_nodistance,mat,0.8732525160854078,0.8764685347001689,5,-0.0032160186147611736,-0.01162458180233095,0.005192544572808603,-1.0619054578050133,0.34813883637039533,4.0,0.4375,True,0.6962776727407907,0.875,False,False,False,False,3D distances,0.0032160186147611736,-0.005192544572808603,0.01162458180233095
bbbp,clf,scaffold,roc_auc,mat_noattention,mat,0.850402362076407,0.8764685347001689,5,-0.02606617262376205,-0.04414651014983847,-0.007985835097685634,-4.00276251967682,0.016093077948967305,0.0,0.0625,True,0.048279233846901914,0.1875,True,False,True,False,self-attention,0.02606617262376205,0.007985835097685634,0.04414651014983847
bbbp,clf,scaffold,pr_auc,mat_nograph,mat,0.9492028019897327,0.9506358063221226,5,-0.0014330043323897534,-0.00555559840389624,0.002689589739116733,-0.9650860102597685,0.3891532599812467,6.0,0.8125,True,0.7783065199624934,1.0,False,False,False,False,graph structure,0.0014330043323897534,-0.002689589739116733,0.00555559840389624
bbbp,clf,scaffold,pr_auc,mat_nodistance,mat,0.9487603722924994,0.9506358063221226,5,-0.0018754340296229578,-0.008937545312992734,0.005186677253746818,-0.7373205296169504,0.5018389900665492,5.0,0.625,True,0.7783065199624934,1.0,False,False,False,False,3D distances,0.0018754340296229578,-0.005186677253746818,0.008937545312992734
bbbp,clf,scaffold,pr_auc,mat_noattention,mat,0.9337756186122481,0.9506358063221226,5,-0.016860187709874342,-0.02920123531278323,-0.004519140106965457,-3.7931452131148795,0.019216729956011452,0.0,0.0625,True,0.05765018986803436,0.1875,True,False,False,False,self-attention,0.016860187709874342,0.004519140106965457,0.02920123531278323
bbbp,clf,scaffold,f1,mat_nograph,mat,0.9045722225863833,0.9085074426100228,5,-0.00393522002363933,-0.01926399823516612,0.01139355818788746,-0.7127719001305538,0.5153604551713948,6.0,0.8125,True,1.0,1.0,False,False,False,False,graph structure,0.00393522002363933,-0.01139355818788746,0.01926399823516612
bbbp,clf,scaffold,f1,mat_nodistance,mat,0.9071953253930664,0.9085074426100228,5,-0.0013121172169562989,-0.010443553736580197,0.007819319302667601,-0.39895381374387745,0.7103087960924269,5.0,0.625,True,1.0,1.0,False,False,False,False,3D distances,0.0013121172169562989,-0.007819319302667601,0.010443553736580197
bbbp,clf,scaffold,f1,mat_noattention,mat,0.9067690527232501,0.9085074426100228,5,-0.0017383898867724846,-0.013145176519358589,0.009668396745813618,-0.4231291640247473,0.6939592053703464,7.0,1.0,True,1.0,1.0,False,False,False,False,self-attention,0.0017383898867724846,-0.009668396745813618,0.013145176519358589
esol,reg,random,rmse,mat_nograph,mat,0.4108025766165014,0.385448560809561,5,0.025354015806940355,-0.008385719301606781,0.05909375091548749,2.086383691449153,0.1052601453539698,0.0,0.0625,True,0.2105202907079396,0.1875,False,False,False,False,graph structure,-0.025354015806940355,-0.05909375091548749,0.008385719301606781
esol,reg,random,rmse,mat_nodistance,mat,0.39094930772686887,0.385448560809561,5,0.005500746917307842,-0.011676944095665005,0.02267843793028069,0.8890904977832701,0.4241919153523597,5.0,0.625,True,0.4241919153523597,0.625,False,False,False,False,3D distances,-0.005500746917307842,-0.02267843793028069,0.011676944095665005
esol,reg,random,rmse,mat_noattention,mat,0.45296068378080834,0.385448560809561,5,0.06751212297124734,0.02729275215955542,0.10773149378293925,4.660532961657893,0.00958574844325544,0.0,0.0625,True,0.02875724532976632,0.1875,True,False,True,False,self-attention,-0.06751212297124734,-0.10773149378293925,-0.02729275215955542
esol,reg,random,mae,mat_nograph,mat,0.3133968948353473,0.29381306355934095,5,0.01958383127600626,-0.009351171715847758,0.04851883426786027,1.8791576590676253,0.13341102772834318,0.0,0.0625,True,0.26682205545668636,0.1875,False,False,False,False,graph structure,-0.01958383127600626,-0.04851883426786027,0.009351171715847758
esol,reg,random,mae,mat_nodistance,mat,0.29764093219607346,0.29381306355934095,5,0.00382786863673249,-0.014678769222117609,0.02233450649558259,0.5742732537835723,0.5965333326362908,5.0,0.625,True,0.5965333326362908,0.625,False,False,False,False,3D distances,-0.00382786863673249,-0.02233450649558259,0.014678769222117609
