task,task_type,model,metric,random_mean,scaffold_mean,gap,gap_ci95_low,gap_ci95_high,welch_t,welch_p,n_random,n_scaffold,scaffold_worse
bbbp,clf,svm,roc_auc,0.9211432040828076,0.9040893660511796,0.017053838031627966,0.004029482793081558,0.030078193270174372,2.656574956052659,0.011737673413986759,25,25,True
bbbp,clf,svm,pr_auc,0.9696771866741204,0.9627856104183087,0.0068915762558117155,0.0005131145448778896,0.013270037966745541,2.1902603546230104,0.034978693046261645,25,25,True
bbbp,clf,svm,f1,0.9339992889621875,0.921020560357166,0.012978728605021583,0.005639083102826487,0.02031837410721668,3.58236954180458,0.000971764635284089,25,25,True
bbbp,clf,rf,roc_auc,0.9214582782523286,0.901747254508572,0.01971102374375666,0.007842189634437488,0.031579857853075835,3.3524404335610196,0.001714766200231866,25,25,True
bbbp,clf,rf,pr_auc,0.9684724759806157,0.9608905258405399,0.007581950140075788,0.0016392463933400693,0.013524653886811507,2.5722767802216917,0.013604971252719499,25,25,True
bbbp,clf,rf,f1,0.9321324303285828,0.9167719431570787,0.015360487171504178,0.007330177871821298,0.02339079647118706,3.8964587544434486,0.0004687534934197868,25,25,True
esol,reg,svm,rmse,0.4854102718986588,0.6314305982345416,-0.1460203263358828,-0.1878476436600605,-0.10419300901170511,-7.131850396931347,6.482786188675469e-08,25,25,True
esol,reg,svm,mae,0.36601921284309286,0.4856435784970135,-0.11962436565392065,-0.15498228500607028,-0.08426644630177102,-6.930964037800346,1.5748844962212434e-07,25,25,True
esol,reg,svm,r2,0.7611643667314137,0.5013289447918478,0.259835421939566,0.10688973881848285,0.41278110506064913,3.5041140405328997,0.0018009818611663079,25,25,True
esol,reg,rf,rmse,0.574217094108197,0.7726017378341153,-0.19838464372591835,-0.27065733995119534,-0.1261119475006414,-5.642365161560861,6.227648938761394e-06,25,25,True
esol,reg,rf,mae,0.4321394649082585,0.6061050611676676,-0.1739655962594091,-0.2437940370424337,-0.10413715547638451,-5.131481899423986,2.667516058984166e-05,25,25,True
esol,reg,rf,r2,0.6652241509784658,0.18175533987563713,0.48346881110282863,0.16058813095080476,0.8063494912548526,3.089435310014199,0.004991070479133567,25,25,True
estrogen-alpha,clf,svm,roc_auc,0.9686327944147983,0.954104405252579,0.014528389162219324,0.007790375828817691,0.021266402495620958,4.387258124443615,0.0001112701796659317,25,25,True
estrogen-alpha,clf,svm,pr_auc,0.9629774127303935,0.9432210460817895,0.01975636664860403,0.009885594121339396,0.029627139175868664,4.0924339560473975,0.00030825920310147587,25,25,True
estrogen-alpha,clf,svm,f1,0.9153261953523573,0.8884402633241476,0.026885932028209658,0.012687119234660043,0.04108474482175927,3.877012948192016,0.0005763996790222857,25,25,True
estrogen-alpha,clf,rf,roc_auc,0.9680761198910572,0.9524329743462339,0.015643145544823378,0.008524456567680874,0.022761834521965882,4.467222633056844,8.458485348976766e-05,25,25,True
estrogen-alpha,clf,rf,pr_auc,0.9643294949372573,0.9444598442629492,0.019869650674308126,0.009560134211012985,0.03017916713760327,3.935252076439266,0.00045304795920622474,25,25,True
estrogen-alpha,clf,rf,f1,0.9059032144440973,0.8752644106254317,0.030638803818665572,0.01652450749065989,0.044753100146671256,4.427997588714794,0.00011056116199646881,25,25,True
bbbp,clf,gcn,roc_auc,0.8987280322975834,0.8591774229785832,0.03955060931900012,0.020001910149049344,0.0590993084889509,4.083738089814527,0.00019613773760188483,25,25,True
bbbp,clf,gcn,pr_auc,0.9578055666049268,0.9375619822733001,0.02024358433162665,0.00962121487298542,0.030865953790267884,3.8410264793235647,0.00039013488772513964,25,25,True
bbbp,clf,gcn,f1,0.9189165830133713,0.9109198659082797,0.007996717105091644,-0.001705548849638928,0.017698983059822218,1.6727149790886144,0.10322277977979741,25,25,True
bbbp,clf,hybrid,roc_auc,0.9109785093272802,0.8884711055032974,0.022507403823982752,0.00811862546849717,0.036896182179468336,3.165958976844754,0.003031145311232314,25,25,True
bbbp,clf,hybrid,pr_auc,0.9664081104098465,0.9583178763497199,0.008090234060126655,0.0017368514486860139,0.014443616671567298,2.5720432023474804,0.0138520222536404,25,25,True
bbbp,clf,hybrid,f1,0.9265959352827221,0.9131490344563548,0.013446900826367347,0.005442553015520064,0.02145124863721463,3.3863948345136508,0.0015074316185012093,25,25,True
bbbp,clf,mat_nodistance,roc_auc,0.8866369351142127,0.8732525160854077,0.01338441902880505,-0.009149748453491337,0.03591858651110144,1.1944565270444376,0.23820974066627068,25,25,True
bbbp,clf,mat_nodistance,pr_auc,0.9518671968146531,0.9487603722924995,0.003106824522153606,-0.008576033140524398,0.01478968218483161,0.5346979277977296,0.5953287558496025,25,25,True
bbbp,clf,mat_nodistance,f1,0.9123280515166644,0.9071953253930662,0.005132726123598164,-0.006157671071957025,0.016423123319153354,0.9166584472128774,0.36440560209188,25,25,True
bbbp,clf,mat_nograph,roc_auc,0.882581239452612,0.8745758973316985,0.008005342120913528,-0.011994696913769164,0.02800538115559622,0.804817296950797,0.4248990254596926,25,25,True
bbbp,clf,mat_nograph,pr_auc,0.9494405162219386,0.9492028019897328,0.0002377142322057546,-0.009964053940372615,0.010439482404784125,0.046860034862373494,0.962820756146494,25,25,True
bbbp,clf,mat_nograph,f1,0.9122977230973914,0.9045722225863833,0.0077255005110081765,-0.010557088492490718,0.02600808951450707,0.8607710926199813,0.3957761352108645,25,25,True
bbbp,clf,mat_noattention,roc_auc,0.8551164435273121,0.8504023620764071,0.004714081450905017,-0.017048951943443854,0.026477114845253887,0.436549496070564,0.6645731651552309,25,25,True
bbbp,clf,mat_noattention,pr_auc,0.9352929787149626,0.9337756186122483,0.0015173601027143047,-0.011570958502706804,0.014605678708135414,0.23397770537621704,0.8161418017962518,25,25,True
bbbp,clf,mat_noattention,f1,0.9076581837337403,0.9067690527232503,0.0008891310104900407,-0.010546976621152995,0.012325238642133076,0.15650444879021844,0.8763213230587108,25,25,True
bbbp,clf,mat,roc_auc,0.8917401020124962,0.876468534700169,0.01527156731232715,-0.003918531223470946,0.034461665848125246,1.6000965800600742,0.11614317553790705,25,25,True
bbbp,clf,mat,pr_auc,0.953925404603636,0.9506358063221225,0.0032895982815134284,-0.006974521772227887,0.013553718335254743,0.6446391696126481,0.5222743430184981,25,25,True
bbbp,clf,mat,f1,0.9182185461545465,0.9085074426100228,0.009711103544523647,-0.0017001005172334743,0.02112230760628077,1.7236760846884809,0.09302206531487023,25,25,True
estrogen-beta,clf,svm,roc_auc,0.9292085973189194,0.8973938937855719,0.03181470353334748,0.021674231056010917,0.041955176010684034,6.3357072621485315,1.4284991284517938e-07,25,25,True
estrogen-beta,clf,svm,pr_auc,0.952290905726593,0.9220279654683917,0.03026294025820131,0.017456147579896233,0.043069732936506386,4.837450262532501,4.186403964537318e-05,25,25,True
estrogen-beta,clf,svm,f1,0.8969890346186508,0.8505831018008366,0.04640593281781413,0.024598040840114542,0.06821382479551372,4.359517773549573,0.0001601143917328651,25,25,True
estrogen-beta,clf,rf,roc_auc,0.9264359778598642,0.8981542747632949,0.0282817030965693,0.018389921356444523,0.038173484836694076,5.783184198414716,1.0377359277461473e-06,25,25,True
