task,task_type,split,metric,model,reference,model_mean,reference_mean,n_pairs,mean_diff,diff_ci95_low,diff_ci95_high,t_stat,t_p,wilcoxon_stat,wilcoxon_p,reference_better,t_p_holm,wilcoxon_p_holm,significant_t,significant_wilcoxon,significant_t_holm,significant_wilcoxon_holm
bbbp,clf,random,roc_auc,mat_large_pretrained,mat,0.860636905627454,0.8859240948087829,5,-0.02528718918132895,-0.07447827842797997,0.02390390006532207,-1.4272603778842194,0.22667593468141276,2.0,0.1875,True,0.22667593468141276,0.25,False,False,False,False
bbbp,clf,random,roc_auc,mat_large_scratch,mat,0.8477097571615531,0.8859240948087829,5,-0.03821433764722983,-0.08034784466418327,0.003919169369723592,-2.518186076139718,0.06548322137670552,1.0,0.125,True,0.13096644275341104,0.25,False,False,False,False
bbbp,clf,random,pr_auc,mat_large_pretrained,mat,0.936984547849038,0.9495162460410353,5,-0.012531698191997486,-0.036280497328492596,0.011217100944497625,-1.4650665873677695,0.21676731032530272,3.0,0.3125,True,0.21676731032530272,0.3125,False,False,False,False
bbbp,clf,random,pr_auc,mat_large_scratch,mat,0.9301137340852543,0.9495162460410353,5,-0.019402511955780976,-0.04304077520987969,0.0042357512983177414,-2.2789326258488622,0.0848864590563637,0.0,0.0625,True,0.1697729181127274,0.125,False,False,False,False
bbbp,clf,random,f1,mat_large_pretrained,mat,0.9092213251592918,0.9165642556284744,5,-0.007342930469182729,-0.031399789088737265,0.016713928150371808,-0.8474607462837421,0.44446841572282025,5.0,0.625,True,0.44446841572282025,0.625,False,False,False,False
bbbp,clf,random,f1,mat_large_scratch,mat,0.8961427379837275,0.9165642556284744,5,-0.02042151764474709,-0.042327870238782,0.0014848349492878193,-2.58825482070017,0.060795658095224914,1.0,0.125,True,0.12159131619044983,0.25,False,False,False,False
estrogen-alpha,clf,random,roc_auc,mat_large_pretrained,mat,0.9548792405416725,0.9569628647214854,5,-0.002083624179812937,-0.005972462669456672,0.001805214309830798,-1.4876082332859728,0.2110681381746247,3.0,0.3125,True,0.2110681381746247,0.3125,False,False,False,False
estrogen-alpha,clf,random,roc_auc,mat_large_scratch,mat,0.9399134440876727,0.9569628647214854,5,-0.01704942063381265,-0.02173485044252823,-0.012363990825097072,-10.102975051969452,0.0005401417483072718,0.0,0.0625,True,0.0010802834966145436,0.125,True,False,True,False
estrogen-alpha,clf,random,pr_auc,mat_large_pretrained,mat,0.9470562540086875,0.9456433266547171,5,0.0014129273539704944,-0.0034777223841678637,0.006303577092108853,0.8021255755323682,0.4674281430349732,4.0,0.4375,False,0.4674281430349732,0.4375,False,False,False,False
estrogen-alpha,clf,random,pr_auc,mat_large_scratch,mat,0.922325394521532,0.9456433266547171,5,-0.02331793213318527,-0.03459159969952921,-0.012044264566841332,-5.742670533216037,0.004556511767043779,0.0,0.0625,True,0.009113023534087559,0.125,True,False,True,False
