task,task_type,split,metric,model,reference,model_mean,reference_mean,n_pairs,mean_diff,diff_ci95_low,diff_ci95_high,t_stat,t_p,wilcoxon_stat,wilcoxon_p,reference_better,t_p_holm,wilcoxon_p_holm,significant_t,significant_wilcoxon,significant_t_holm,significant_wilcoxon_holm
bbbp,clf,random,roc_auc,mat_large_pretrained,mat_large_scratch,0.860636905627454,0.8477097571615531,5,0.012927148465900883,-0.002957956838577757,0.028812253770379524,2.2594447688172705,0.08673371258690472,1.0,0.125,False,0.08673371258690472,0.125,False,False,False,False
bbbp,clf,random,pr_auc,mat_large_pretrained,mat_large_scratch,0.936984547849038,0.9301137340852543,5,0.0068708137637834895,0.0031461565261810217,0.010595471001385958,5.12166248496511,0.006878186842858974,0.0,0.0625,False,0.006878186842858974,0.0625,True,False,True,False
bbbp,clf,random,f1,mat_large_pretrained,mat_large_scratch,0.9092213251592918,0.8961427379837275,5,0.01307858717556436,-0.0021798853027821634,0.028337059653910885,2.3797912535497323,0.07600652249426983,0.0,0.0625,False,0.07600652249426983,0.0625,False,False,False,False
esol,reg,random,rmse,mat_large_pretrained,mat_large_scratch,0.5307556044361909,0.5838451680229703,5,-0.05308956358677945,-0.22888979184087632,0.12271066466731743,-0.8384531716565963,0.4489572550432053,5.0,0.625,False,0.4489572550432053,0.625,False,False,False,False
esol,reg,random,mae,mat_large_pretrained,mat_large_scratch,0.4140053870173112,0.4508330666591651,5,-0.03682767964185385,-0.1768138457179008,0.10315848643419309,-0.7304295398866115,0.505607715294107,6.0,0.8125,False,0.505607715294107,0.8125,False,False,False,False
esol,reg,random,r2,mat_large_pretrained,mat_large_scratch,0.6922349475796019,0.6126170334852873,5,0.07961791409431476,-0.17070783999580877,0.3299436681844383,0.8830684188956196,0.42707742072405563,6.0,0.8125,False,0.42707742072405563,0.8125,False,False,False,False
freesolv,reg,random,rmse,mat_large_pretrained,mat_large_scratch,0.4037310828269957,0.4093115016202706,5,-0.005580418793274822,-0.072576932676388,0.06141609508983835,-0.23126168132528702,0.8284595425118165,7.0,1.0,False,0.8284595425118165,1.0,False,False,False,False
freesolv,reg,random,mae,mat_large_pretrained,mat_large_scratch,0.3132113844019094,0.3020958055178959,5,0.011115578884013422,-0.058344543661461204,0.08057570142948804,0.44430953262073886,0.679798259250443,5.0,0.625,True,0.679798259250443,0.625,False,False,False,False
freesolv,reg,random,r2,mat_large_pretrained,mat_large_scratch,0.8108657386253373,0.8098097723835659,5,0.0010559662417714665,-0.05597901265146307,0.05809094513500601,0.05140410955018826,0.9614681264577302,7.0,1.0,False,0.9614681264577302,1.0,False,False,False,False
estrogen-alpha,clf,random,roc_auc,mat_large_pretrained,mat_large_scratch,0.9548792405416725,0.9399134440876727,5,0.014965796453999713,0.00973786047588452,0.020193732432114905,7.94801475841228,0.0013571237488862052,0.0,0.0625,False,0.0013571237488862052,0.0625,True,False,True,False
estrogen-alpha,clf,random,pr_auc,mat_large_pretrained,mat_large_scratch,0.9470562540086875,0.922325394521532,5,0.024730859487155765,0.013392027735324233,0.036069691238987296,6.055639176351398,0.0037532859757398278,0.0,0.0625,False,0.0037532859757398278,0.0625,True,False,True,False
estrogen-alpha,clf,random,f1,mat_large_pretrained,mat_large_scratch,0.871916706743691,0.859401403215068,5,0.012515303528623001,-0.022278342967886954,0.047308950025132954,0.9986896091961945,0.3744639185661242,3.0,0.3125,False,0.3744639185661242,0.3125,False,False,False,False
estrogen-beta,clf,random,roc_auc,mat_large_pretrained,mat_large_scratch,0.8866594827586207,0.8731034482758622,5,0.013556034482758505,-0.004169805070283018,0.03128187403580003,2.123317514689413,0.10096423928232179,1.0,0.125,False,0.10096423928232179,0.125,False,False,False,False
estrogen-beta,clf,random,pr_auc,mat_large_pretrained,mat_large_scratch,0.9062928942155815,0.8887280855011721,5,0.017564808714409352,-0.009559933302516394,0.0446895507313351,1.797905659284302,0.14659522452952828,2.0,0.1875,False,0.14659522452952828,0.1875,False,False,False,False
estrogen-beta,clf,random,f1,mat_large_pretrained,mat_large_scratch,0.7239555446836201,0.8347803072284595,5,-0.11082476254483949,-0.4687482753467653,0.24709875025708633,-0.8596777202301541,0.4384379873817196,5.0,0.625,True,0.4384379873817196,0.625,False,False,False,False
metstab-high,clf,random,roc_auc,mat_large_pretrained,mat_large_scratch,0.7902762430939226,0.7439116022099448,5,0.04636464088397796,0.007813257614464615,0.08491602415349131,3.3391507468520305,0.0288585772600966,0.0,0.0625,False,0.0288585772600966,0.0625,True,False,True,False
metstab-high,clf,random,pr_auc,mat_large_pretrained,mat_large_scratch,0.3855498625160002,0.3450596166483726,5,0.0404902458676276,0.010559886808646592,0.07042060492660862,3.756017250775253,0.0198432523822878,0.0,0.0625,False,0.0198432523822878,0.0625,True,False,True,False
metstab-high,clf,random,f1,mat_large_pretrained,mat_large_scratch,0.21382858941279567,0.199009009009009,5,0.014819580403786687,-0.26313441053158654,0.2927735713391599,0.14803079939494562,0.8894808482874462,4.0,0.875,False,0.8894808482874462,0.875,False,False,False,False
metstab-low,clf,random,roc_auc,mat_large_pretrained,mat_large_scratch,0.7591676201372998,0.6917095728451563,5,0.0674580472921434,0.02062971485624642,0.11428637972804037,3.9995779364310744,0.01613575367225529,0.0,0.0625,False,0.01613575367225529,0.0625,True,False,True,False
metstab-low,clf,random,pr_auc,mat_large_pretrained,mat_large_scratch,0.7823892676292578,0.7024544574817613,5,0.07993481014749652,0.030219026216720846,0.1296505940782722,4.4640674413975665,0.011125376184001202,0.0,0.0625,False,0.011125376184001202,0.0625,True,False,True,False
