task,task_type,split,metric,model,reference,model_mean,reference_mean,n_pairs,mean_diff,diff_ci95_low,diff_ci95_high,t_stat,t_p,wilcoxon_stat,wilcoxon_p,reference_better,t_p_holm,wilcoxon_p_holm,significant_t,significant_wilcoxon,significant_t_holm,significant_wilcoxon_holm
bbbp,clf,random,roc_auc,svm,mat,0.9211432040828076,0.8917401020124963,25,0.029403102070311483,0.017140735796186544,0.04166546834443642,4.948883332442156,4.7320245834755446e-05,13.5,6.08961004549167e-05,False,0.0002839214750085327,0.0003044805022745835,True,True,True,True
bbbp,clf,random,roc_auc,rf,mat,0.9214582782523286,0.8917401020124962,25,0.029718176239832413,0.016993850993366658,0.04244250148629817,4.820318563660916,6.558200714904454e-05,12.0,4.172325134277344e-06,False,0.0003279100357452227,2.9206275939941406e-05,True,True,True,True
bbbp,clf,random,roc_auc,gcn,mat,0.8987280322975834,0.8917401020124963,25,0.006987930285087045,-0.00688827790436691,0.020864138474541,1.0393602536973447,0.30899556585655835,129.0,0.3809836506843567,False,0.5742672528872125,0.7619673013687134,False,False,False,False
bbbp,clf,random,roc_auc,hybrid,mat,0.9109785093272802,0.8917401020124963,25,0.019238407314783938,0.007323904274469167,0.031152910355098706,3.3325872720535687,0.0027813859568646027,47.0,0.0011548399925231934,False,0.01112554382745841,0.0046193599700927734,True,True,True,True
bbbp,clf,random,roc_auc,mat_nodistance,mat,0.8866369351142127,0.8917401020124963,25,-0.0051031668982834824,-0.014778202720671804,0.004571868924104838,-1.0886180696863854,0.28713362644360624,125.0,0.475050524053953,True,0.5742672528872125,0.7619673013687134,False,False,False,False
bbbp,clf,random,roc_auc,mat_nograph,mat,0.882581239452612,0.8917401020124963,25,-0.00915886255988418,-0.016632924696072075,-0.001684800423696284,-2.5291418400135273,0.01841689063785243,81.0,0.02747941017150879,True,0.05525067191355729,0.08243823051452637,True,True,False,False
bbbp,clf,random,roc_auc,mat_noattention,mat,0.8551164435273121,0.8917401020124963,25,-0.036623658485184035,-0.047604780853005936,-0.025642536117362134,-6.883405314799341,4.0524010830622005e-07,13.0,5.245208740234375e-06,True,2.8366807581435405e-06,3.147125244140625e-05,True,True,True,True
bbbp,clf,random,pr_auc,svm,mat,0.9696771866741204,0.9539254046036361,25,0.01575178207048436,0.008590857933640249,0.022912706207328472,4.539928050777846,0.00013380147507565076,21.0,2.664327621459961e-05,False,0.0008028088504539046,0.00015985965728759766,True,True,True,True
bbbp,clf,random,pr_auc,rf,mat,0.9684724759806157,0.9539254046036361,25,0.014547071376979836,0.007056284965930846,0.022037857788028827,4.00808113371963,0.0005162568320674405,35.0,0.0002498030662536621,False,0.002581284160337203,0.0012490153312683105,True,True,True,True
bbbp,clf,random,pr_auc,gcn,mat,0.9578055666049268,0.9539254046036361,25,0.0038801620012909235,-0.004381280038575538,0.012141604041157385,0.9693538651851974,0.34203688633973306,118.0,0.24106645584106445,False,0.6840737726794661,0.4821329116821289,False,False,False,False
bbbp,clf,random,pr_auc,hybrid,mat,0.9664081104098465,0.9539254046036361,25,0.012482705806210604,0.005503368777706845,0.019462042834714362,3.6913303446225645,0.001144842715226445,37.0,0.00032907724380493164,False,0.00457937086090578,0.0013163089752197266,True,True,True,True
bbbp,clf,random,pr_auc,mat_nodistance,mat,0.9518671968146531,0.953925404603636,25,-0.0020582077889825536,-0.0069308519187275,0.0028144363407623936,-0.8717919844138163,0.39195987704645197,130.0,0.39571136236190796,True,0.6840737726794661,0.4821329116821289,False,False,False,False
bbbp,clf,random,pr_auc,mat_nograph,mat,0.9494405162219386,0.9539254046036361,25,-0.004484888381697329,-0.008348780156995729,-0.0006209966063989293,-2.395604022665073,0.02474682429239479,99.0,0.09031611680984497,True,0.07424047287718437,0.2709483504295349,True,False,False,False
