task,task_type,split,metric,model,reference,model_mean,reference_mean,n_pairs,mean_diff,diff_ci95_low,diff_ci95_high,t_stat,t_p,wilcoxon_stat,wilcoxon_p,reference_better,t_p_holm,wilcoxon_p_holm,significant_t,significant_wilcoxon,significant_t_holm,significant_wilcoxon_holm
bbbp,clf,random,roc_auc,svm,mat,0.9211432040828077,0.8917401020124963,5,0.029403102070311427,0.00826921129315724,0.050536992847465614,3.8628049932479227,0.0181039620093088,0.0,0.0625,False,0.09404325242443105,0.4375,True,False,False,False
bbbp,clf,random,roc_auc,rf,mat,0.9214582782523287,0.8917401020124963,5,0.02971817623983237,0.009267328104145052,0.05016902437551969,4.034594771280132,0.015673875404071842,0.0,0.0625,False,0.09404325242443105,0.4375,True,False,False,False
bbbp,clf,random,roc_auc,gcn,mat,0.8987280322975832,0.8917401020124963,5,0.006987930285087018,-0.021105026272738067,0.03508088684291211,0.6906216793365287,0.527788310201488,5.0,0.625,False,0.5540118741255984,0.625,False,False,False,False
bbbp,clf,random,roc_auc,hybrid,mat,0.9109785093272803,0.8917401020124963,5,0.0192384073147839,0.001410582092995695,0.037066232536572104,2.996124381769971,0.04009495891112791,0.0,0.0625,False,0.16037983564451164,0.4375,True,False,False,False
bbbp,clf,random,roc_auc,mat_nodistance,mat,0.8866369351142127,0.8917401020124963,5,-0.005103166898283518,-0.016371111721048298,0.006164777924481262,-1.257430967102498,0.2770059370627992,3.0,0.3125,True,0.5540118741255984,0.625,False,False,False,False
bbbp,clf,random,roc_auc,mat_nograph,mat,0.8825812394526119,0.8917401020124963,5,-0.00915886255988423,-0.01971989191536501,0.001402166795596552,-2.40782202829246,0.07372852922093506,1.0,0.125,True,0.2211855876628052,0.4375,False,False,False,False
bbbp,clf,random,roc_auc,mat_noattention,mat,0.8551164435273121,0.8917401020124963,5,-0.03662365848518412,-0.052216588430840524,-0.021030728539527713,-6.521133468181227,0.002855398457011138,0.0,0.0625,True,0.019987789199077965,0.4375,True,False,True,False
bbbp,clf,random,pr_auc,svm,mat,0.9696771866741203,0.9539254046036358,5,0.015751782070484378,0.0031707412207228076,0.02833282292024595,3.4761796539725576,0.025440183212673714,0.0,0.0625,False,0.15264109927604227,0.4375,True,False,False,False
bbbp,clf,random,pr_auc,rf,mat,0.9684724759806157,0.9539254046036358,5,0.014547071376979793,0.0013958108696954658,0.02769833188426412,3.0711234939956884,0.03725216303182089,0.0,0.0625,False,0.18626081515910445,0.4375,True,False,False,False
bbbp,clf,random,pr_auc,gcn,mat,0.9578055666049268,0.9539254046036358,5,0.0038801620012909543,-0.013807525508199614,0.02156784951078152,0.6090709591108694,0.5753736686061244,5.0,0.625,False,0.9335645706559297,1.0,False,False,False,False
bbbp,clf,random,pr_auc,hybrid,mat,0.9664081104098464,0.9539254046036358,5,0.012482705806210581,0.0009369870009785057,0.024028424611442657,3.001766110878436,0.03987247709305562,0.0,0.0625,False,0.18626081515910445,0.4375,True,False,False,False
bbbp,clf,random,pr_auc,mat_nodistance,mat,0.9518671968146535,0.9539254046036358,5,-0.0020582077889825133,-0.009171311690467709,0.005054896112502681,-0.8033765597051538,0.46678228532796484,5.0,0.625,True,0.9335645706559297,1.0,False,False,False,False
bbbp,clf,random,pr_auc,mat_nograph,mat,0.9494405162219385,0.9539254046036358,5,-0.004484888381697383,-0.010692806103421975,0.0017230293400272096,-2.0058330269336966,0.11534597864046607,2.0,0.1875,True,0.3460379359213982,0.5625,False,False,False,False
bbbp,clf,random,pr_auc,mat_noattention,mat,0.9352929787149626,0.9539254046036358,5,-0.018632425888673178,-0.02789724460228732,-0.009367607175059035,-5.583693459705821,0.005045121898637873,0.0,0.0625,True,0.03531585329046511,0.4375,True,False,True,False
