task,task_type,split,metric,model,reference,model_mean,reference_mean,n_pairs,mean_diff,diff_ci95_low,diff_ci95_high,t_stat,t_p,wilcoxon_stat,wilcoxon_p,reference_better,t_p_holm,wilcoxon_p_holm,significant_t,significant_wilcoxon,significant_t_holm,significant_wilcoxon_holm
bbbp,clf,random,roc_auc,svm,rf,0.9211432040828076,0.9214582782523286,25,-0.00031507416952092804,-0.0034195912752916792,0.0027894429362498234,-0.20946289008091734,0.8358547423909121,153.0,0.8119303584098816,True,0.8358547423909121,0.8119303584098816,False,False,False,False
bbbp,clf,random,roc_auc,gcn,rf,0.8987280322975834,0.9214582782523286,25,-0.022730245954745366,-0.03179665943284278,-0.013663832476647955,-5.174363825870291,2.6740720095623228e-05,10.0,2.562999725341797e-06,True,0.00013370360047811614,1.2814998626708984e-05,True,True,True,True
bbbp,clf,random,roc_auc,hybrid,rf,0.9109785093272802,0.9214582782523286,25,-0.010479768925048476,-0.01597038560719253,-0.004989152242904421,-3.939298855252722,0.0006141728497828067,40.0,0.0004894733428955078,True,0.0012283456995656134,0.0009789466857910156,True,True,True,True
bbbp,clf,random,roc_auc,mat_nodistance,rf,0.8866369351142127,0.9214582782523286,25,-0.03482134313811589,-0.04983262067921704,-0.01981006559701475,-4.78758185770252,7.12705508570619e-05,13.0,5.245208740234375e-06,True,0.00026232802859617815,1.6689300537109375e-05,True,True,True,True
bbbp,clf,random,roc_auc,mat_nograph,rf,0.882581239452612,0.9214582782523286,25,-0.038877038799716594,-0.05305406403663015,-0.02470001356280304,-5.6597391285000125,7.910436539782501e-06,5.0,5.960464477539062e-07,True,4.7462619238695e-05,3.5762786865234375e-06,True,True,True,True
bbbp,clf,random,roc_auc,mat_noattention,rf,0.8551164435273121,0.9214582782523286,25,-0.06634183472501645,-0.08029028425946891,-0.05239338519056399,-9.816346750692826,7.051014276343833e-10,0.0,5.960464477539063e-08,True,4.935709993440683e-09,4.172325134277344e-07,True,True,True,True
bbbp,clf,random,roc_auc,mat,rf,0.8917401020124962,0.9214582782523286,25,-0.029718176239832413,-0.04244250148629817,-0.016993850993366658,-4.820318563660916,6.558200714904454e-05,12.0,4.172325134277344e-06,True,0.00026232802859617815,1.6689300537109375e-05,True,True,True,True
bbbp,clf,random,pr_auc,svm,rf,0.9696771866741204,0.9684724759806157,25,0.0012047106935045226,-0.0007992938285925875,0.003208715215601633,1.2407160962391248,0.22670274125775106,126.0,0.33878785371780396,False,0.24332310150559575,0.33878785371780396,False,False,False,False
bbbp,clf,random,pr_auc,gcn,rf,0.9578055666049268,0.9684724759806158,25,-0.010666909375688913,-0.015953465112263702,-0.005380353639114123,-4.164416307046219,0.00034749998251565404,23.0,3.814697265625e-05,True,0.0013970739295723349,0.00019073486328125,True,True,True,True
bbbp,clf,random,pr_auc,hybrid,rf,0.9664081104098465,0.9684724759806158,25,-0.0020643655707692334,-0.004719630775852995,0.0005908996343145286,-1.604600973201328,0.12166155075279787,101.0,0.10139739513397217,True,0.24332310150559575,0.20279479026794434,False,False,False,False
bbbp,clf,random,pr_auc,mat_nodistance,rf,0.9518671968146531,0.9684724759806158,25,-0.01660527916596239,-0.024668538830209807,-0.008542019501714973,-4.250342071708569,0.000279414785914467,31.0,0.0001398921012878418,True,0.0013970739295723349,0.0005595684051513672,True,True,True,True
bbbp,clf,random,pr_auc,mat_nograph,rf,0.9494405162219386,0.9684724759806157,25,-0.019031959758677167,-0.026227183766236804,-0.011836735751117529,-5.459181580674449,1.3057823295570834e-05,6.0,8.344650268554688e-07,True,7.834693977342501e-05,5.0067901611328125e-06,True,True,True,True
bbbp,clf,random,pr_auc,mat_noattention,rf,0.9352929787149626,0.9684724759806158,25,-0.03317949726565299,-0.040721819130973,-0.025637175400332973,-9.079315084257084,3.1305945878196516e-09,0.0,5.960464477539063e-08,True,2.191416211473756e-08,4.172325134277344e-07,True,True,True,True
bbbp,clf,random,pr_auc,mat,rf,0.953925404603636,0.9684724759806158,25,-0.014547071376979836,-0.022037857788028827,-0.007056284965930846,-4.00808113371963,0.0005162568320674405,35.0,0.0002498030662536621,True,0.0015487704962023215,0.0007494091987609863,True,True,True,True
bbbp,clf,random,f1,svm,rf,0.9339992889621875,0.9321324303285828,25,0.0018668586336047222,-0.0006553865792308519,0.004389103846440296,1.5276099361996556,0.13968252338299184,110.0,0.16449612379074097,False,0.13968252338299184,0.16449612379074097,False,False,False,False
bbbp,clf,random,f1,gcn,rf,0.9189165830133713,0.9321324303285828,25,-0.0132158473152115,-0.01727465411346093,-0.009157040516962072,-6.720243071516689,5.96368997270573e-07,3.0,2.980232238769531e-07,True,2.860310044995751e-06,1.4901161193847656e-06,True,True,True,True
bbbp,clf,random,f1,hybrid,rf,0.9265959352827221,0.9321324303285828,25,-0.005536495045860823,-0.009220624013172377,-0.0018523660785492698,-3.101618934353253,0.004868572982933222,43.0,0.0007149577140808105,True,0.009737145965866443,0.001429915428161621,True,True,True,True
bbbp,clf,random,f1,mat_nodistance,rf,0.9123280515166644,0.9321324303285827,25,-0.01980437881191843,-0.025870830329094405,-0.013737927294742453,-6.737749214368147,5.720620089991503e-07,1.0,1.1920928955078125e-07,True,2.860310044995751e-06,7.152557373046875e-07,True,True,True,True
bbbp,clf,random,f1,mat_nograph,rf,0.9122977230973914,0.9321324303285828,25,-0.01983470723119118,-0.025830759768653413,-0.01383865469372895,-6.827295703131793,4.6265481266227136e-07,6.0,8.344650268554688e-07,True,2.775928875973628e-06,3.337860107421875e-06,True,True,True,True
bbbp,clf,random,f1,mat_noattention,rf,0.9076581837337403,0.9321324303285828,25,-0.02447424659484244,-0.031361819196886596,-0.017586673992798285,-7.333841000679004,1.419116951290945e-07,0.0,5.960464477539063e-08,True,9.933818659036616e-07,4.172325134277344e-07,True,True,True,True
bbbp,clf,random,f1,mat,rf,0.9182185461545465,0.9321324303285828,25,-0.01391388417403635,-0.018864999902102726,-0.008962768445969972,-5.8000756012761725,5.581710294204308e-06,18.0,1.5079975128173828e-05,True,1.6745130882612924e-05,4.5239925384521484e-05,True,True,True,True
bbbp,clf,scaffold,roc_auc,svm,rf,0.9040893660511796,0.9017472545085721,25,0.002342111542607812,-0.0017959290951483362,0.00648015218036396,1.168156880784481,0.25421722159937427,117.0,0.23036134243011475,False,0.25421722159937427,0.23036134243011475,False,False,False,False
bbbp,clf,scaffold,roc_auc,gcn,rf,0.8591774229785832,0.9017472545085721,25,-0.04256983152998874,-0.0544332687540513,-0.030706394305926185,-7.405932395822455,1.202647998281781e-07,1.0,1.1920928955078125e-07,True,7.215887989690686e-07,7.152557373046875e-07,True,True,True,True
bbbp,clf,scaffold,roc_auc,mat,rf,0.876468534700169,0.9017472545085721,25,-0.025278719808402933,-0.03605173760955983,-0.014505702007246041,-4.842906084009054,6.192504930675833e-05,20.0,2.2113323211669922e-05,True,0.0002477001972270333,8.845329284667969e-05,True,True,True,True
bbbp,clf,scaffold,roc_auc,mat_nograph,rf,0.8745758973316985,0.9017472545085721,25,-0.027171357176873516,-0.03743356284863884,-0.01690915150510819,-5.46460739420979,1.288142658556394e-05,14.0,6.556510925292969e-06,True,6.440713292781971e-05,3.2782554626464844e-05,True,True,True,True
bbbp,clf,scaffold,roc_auc,mat_nodistance,rf,0.8732525160854077,0.9017472545085721,25,-0.028494738423164176,-0.04149552143631774,-0.015493955410010616,-4.523592893292187,0.00013947977428560763,20.0,2.2113323211669922e-05,True,0.0004184393228568229,8.845329284667969e-05,True,True,True,True
bbbp,clf,scaffold,roc_auc,hybrid,rf,0.8884711055032974,0.9017472545085721,25,-0.01327614900527435,-0.02203988579634541,-0.004512412214203289,-3.1265914859357884,0.0045850539666588905,73.0,0.014722049236297607,True,0.009170107933317781,0.029444098472595215,True,True,True,True
bbbp,clf,scaffold,roc_auc,mat_noattention,rf,0.8504023620764071,0.9017472545085721,25,-0.051344892432164974,-0.0636809970310911,-0.03900878783323884,-8.590284622498707,8.750149306831175e-09,0.0,5.960464477539063e-08,True,6.125104514781822e-08,4.172325134277344e-07,True,True,True,True
bbbp,clf,scaffold,pr_auc,svm,rf,0.9627856104183087,0.9608905258405399,25,0.0018950845777686886,-0.0008595393465800568,0.004649708502117434,1.4198897713940932,0.1684999333096818,114.0,0.2002161741256714,False,0.3369998666193636,0.4004323482513428,False,False,False,False
bbbp,clf,scaffold,pr_auc,gcn,rf,0.9375619822733001,0.9608905258405399,25,-0.023328543567239915,-0.030988783788859733,-0.015668303345620097,-6.285409611230424,1.6961389393115924e-06,2.0,1.7881393432617188e-07,True,1.0176833635869554e-05,1.2516975402832031e-06,True,True,True,True
bbbp,clf,scaffold,pr_auc,mat,rf,0.9506358063221225,0.9608905258405399,25,-0.010254719518417464,-0.015571782961697558,-0.0049376560751373715,-3.9805244172343563,0.0005534792398877359,40.0,0.0004894733428955078,True,0.0022139169595509437,0.0019578933715820312,True,True,True,True
bbbp,clf,scaffold,pr_auc,mat_nograph,rf,0.9492028019897328,0.9608905258405399,25,-0.01168772385080714,-0.017105491493606368,-0.006269956208007913,-4.452438353728101,0.00016715956282015195,40.0,0.0004894733428955078,True,0.0008357978141007598,0.0019578933715820312,True,True,True,True
bbbp,clf,scaffold,pr_auc,mat_nodistance,rf,0.9487603722924995,0.9608905258405399,25,-0.012130153548040363,-0.01866100284705926,-0.005599304249021468,-3.8334074656857426,0.0008018502924694933,37.0,0.00032907724380493164,True,0.00240555087740848,0.0016453862190246582,True,True,True,True
bbbp,clf,scaffold,pr_auc,hybrid,rf,0.9583178763497199,0.9608905258405399,25,-0.0025726494908200202,-0.006666641552740743,0.001521342571100702,-1.2969462332531798,0.2069803015401409,120.0,0.2634761333465576,True,0.3369998666193636,0.4004323482513428,False,False,False,False
bbbp,clf,scaffold,pr_auc,mat_noattention,rf,0.9337756186122483,0.9608905258405399,25,-0.027114907228291726,-0.03547372902690481,-0.01875608542967865,-6.695012691433855,6.332706254836377e-07,3.0,2.980232238769531e-07,True,4.432894378385464e-06,1.7881393432617188e-06,True,True,True,True
bbbp,clf,scaffold,f1,svm,rf,0.921020560357166,0.9167719431570787,25,0.004248617200087374,0.0007052235634100053,0.007792010836764743,2.474665766005834,0.020792041931238472,79.0,0.023649930953979492,False,0.08316816772495389,0.09459972381591797,True,True,False,False
bbbp,clf,scaffold,f1,gcn,rf,0.9109198659082797,0.9167719431570787,25,-0.005852077248799019,-0.01145993208716431,-0.00024422241043372834,-2.1537814662572763,0.04151496919120607,88.0,0.04512268304824829,True,0.12454490757361822,0.09459972381591797,True,True,False,False
bbbp,clf,scaffold,f1,mat,rf,0.9085074426100228,0.9167719431570787,25,-0.008264500547055999,-0.01463254069708422,-0.0018964603970277778,-2.6785463643107326,0.01313628104336793,73.0,0.014722049236297607,True,0.06568140521683966,0.07361024618148804,True,True,False,False
bbbp,clf,scaffold,f1,mat_nograph,rf,0.9045722225863833,0.9167719431570787,25,-0.012199720570695329,-0.027867888920876313,0.003468447779485656,-1.6070152665822623,0.12112920609484423,85.0,0.036682069301605225,True,0.12454490757361822,0.09459972381591797,False,True,False,False
bbbp,clf,scaffold,f1,mat_nodistance,rf,0.9071953253930662,0.9167719431570787,25,-0.009576617764012281,-0.015192252634139345,-0.003960982893885217,-3.519667514985545,0.0017548290455583978,43.0,0.0007149577140808105,True,0.012283803318908784,0.005004703998565674,True,True,True,True
bbbp,clf,scaffold,f1,hybrid,rf,0.9131490344563548,0.9167719431570787,25,-0.0036229087007239036,-0.00724735029420601,1.5328927582022693e-06,-2.063025672638866,0.05008948971406212,81.0,0.02747941017150879,True,0.12454490757361822,0.09459972381591797,False,True,False,False
bbbp,clf,scaffold,f1,mat_noattention,rf,0.9067690527232503,0.9167719431570787,25,-0.010002890433828418,-0.017385028154887308,-0.002620752712769527,-2.796608781709352,0.01000768136439108,66.0,0.00806879997253418,True,0.060046088186346484,0.04841279983520508,True,True,False,True
esol,reg,random,rmse,svm,rf,0.4854102718986588,0.574217094108197,25,-0.08880682220953809,-0.09650470498840126,-0.08110893943067492,-23.8102187168001,3.309358831423568e-18,0.0,5.960464477539063e-08,False,1.9856152988541408e-17,4.172325134277344e-07,True,True,True,True
esol,reg,random,rmse,gcn,rf,0.4571276589498014,0.574217094108197,25,-0.1170894351583956,-0.1325494980972174,-0.1016293722195738,-15.631289326669906,4.4095564236813033e-14,0.0,5.960464477539063e-08,False,1.7638225694725213e-13,4.172325134277344e-07,True,True,True,True
esol,reg,random,rmse,mat,rf,0.385448560809561,0.574217094108197,25,-0.18876853329863588,-0.20469737067010627,-0.1728396959271655,-24.45872823420771,1.779566167781794e-18,0.0,5.960464477539063e-08,False,1.2456963174472556e-17,4.172325134277344e-07,True,True,True,True
esol,reg,random,rmse,mat_nograph,rf,0.4108025766165014,0.574217094108197,25,-0.16341451749169555,-0.19467677738826009,-0.13215225759513102,-10.78843911848199,1.0942671201184094e-10,4.0,4.172325134277344e-07,False,1.608711477627138e-10,5.960464477539062e-07,True,True,True,True
esol,reg,random,rmse,mat_nodistance,rf,0.39094930772686887,0.574217094108197,25,-0.18326778638132804,-0.19926726749763787,-0.1672683052650182,-23.641149231995463,3.900301754110295e-18,0.0,5.960464477539063e-08,False,1.9856152988541408e-17,4.172325134277344e-07,True,True,True,True
esol,reg,random,rmse,mat_noattention,rf,0.45296068378080834,0.574217094108197,25,-0.12125641032738856,-0.14364744868311466,-0.09886537197166245,-11.176834539201906,5.36237159209046e-11,3.0,2.980232238769531e-07,False,1.608711477627138e-10,5.960464477539062e-07,True,True,True,True
