task,split,model,metric,unit,mean_original_units,ci95_low_original_units,ci95_high_original_units,scale_a,n_matched_source_molecules
esol,random,svm,rmse,log10(mol/L),1.017182918847449,0.9879632077718639,1.046402629923034,2.0955117304559443,1111
esol,random,svm,mae,log10(mol/L),0.7669975540849521,0.746382202820354,0.7876129053495503,2.0955117304559443,1111
esol,random,rf,rmse,log10(mol/L),1.2032786565320517,1.17287383048187,1.2336834825822334,2.0955117304559443,1111
esol,random,rf,mae,log10(mol/L),0.9055533179082106,0.8850961231437551,0.9260105126726661,2.0955117304559443,1111
esol,scaffold,svm,rmse,log10(mol/L),1.3231702255692965,1.2395798793111985,1.4067605718273943,2.0955117304559443,1111
esol,scaffold,svm,mae,log10(mol/L),1.017671815561094,0.9459293672421235,1.0894142638800646,2.0955117304559443,1111
esol,scaffold,rf,rmse,log10(mol/L),1.6189960046020369,1.4700030880312565,1.7679889211728173,2.0955117304559443,1111
esol,scaffold,rf,mae,log10(mol/L),1.270100265565565,1.124912450648315,1.4152880804828152,2.0955117304559443,1111
esol,random,gcn,rmse,log10(mol/L),0.9579163716451731,0.923114198469854,0.9927185448204922,2.0955117304559443,1111
esol,random,gcn,mae,log10(mol/L),0.7175430210711966,0.692802994554693,0.7422830475877003,2.0955117304559443,1111
esol,random,mat,rmse,log10(mol/L),0.8077119806637965,0.7748152307453108,0.8406087305822821,2.0955117304559443,1111
esol,random,mat,mae,log10(mol/L),0.6156887212497969,0.588319357253105,0.6430580852464888,2.0955117304559443,1111
esol,random,mat_nograph,rmse,log10(mol/L),0.8608416182014055,0.7923846596642754,0.9292985767385356,2.0955117304559443,1111
esol,random,mat_nograph,mae,log10(mol/L),0.656726869415938,0.6006131356185931,0.712840603213283,2.0955117304559443,1111
esol,random,mat_nodistance,rmse,log10(mol/L),0.8192388603552845,0.7826569715551899,0.8558207491553791,2.0955117304559443,1111
esol,random,mat_nodistance,mae,log10(mol/L),0.6237100648807142,0.5943041568381736,0.653115972923255,2.0955117304559443,1111
esol,random,mat_noattention,rmse,log10(mol/L),0.9491844262980295,0.9067074640635493,0.9916613885325096,2.0955117304559443,1111
esol,random,mat_noattention,mae,log10(mol/L),0.7217052704561752,0.6854726742602213,0.757937866652129,2.0955117304559443,1111
esol,random,hybrid,rmse,log10(mol/L),1.029441042718269,0.9926366343182491,1.0662454511182886,2.0955117304559443,1111
esol,random,hybrid,mae,log10(mol/L),0.7762829286839186,0.7493005897463526,0.8032652676214844,2.0955117304559443,1111
esol,scaffold,gcn,rmse,log10(mol/L),1.0694453893527414,1.032789208566941,1.1061015701385417,2.0955117304559443,1111
esol,scaffold,gcn,mae,log10(mol/L),0.8144539187420989,0.7828159343284787,0.8460919031557192,2.0955117304559443,1111
esol,scaffold,mat,rmse,log10(mol/L),1.0465130552724187,0.9567983060501122,1.1362278044947254,2.0955117304559443,1111
esol,scaffold,mat,mae,log10(mol/L),0.8162600794610312,0.7336261869432787,0.8988939719787837,2.0955117304559443,1111
esol,scaffold,mat_nograph,rmse,log10(mol/L),1.098486941690232,0.9822784823129664,1.214695401067498,2.0955117304559443,1111
esol,scaffold,mat_nograph,mae,log10(mol/L),0.8632182299312702,0.7562895131189371,0.9701469467436032,2.0955117304559443,1111
esol,scaffold,mat_nodistance,rmse,log10(mol/L),1.0334499241285264,0.9856900246397738,1.0812098236172791,2.0955117304559443,1111
esol,scaffold,mat_nodistance,mae,log10(mol/L),0.8032881443229266,0.7583392330304897,0.8482370556153636,2.0955117304559443,1111
esol,scaffold,hybrid,rmse,log10(mol/L),1.2354902420713954,1.164826271723596,1.3061542124191945,2.0955117304559443,1111
esol,scaffold,hybrid,mae,log10(mol/L),0.9562970410764349,0.8904771111540946,1.0221169709987752,2.0955117304559443,1111
esol,scaffold,mat_noattention,rmse,log10(mol/L),1.0694113367565055,1.0120446721360716,1.1267780013769388,2.0955117304559443,1111
esol,scaffold,mat_noattention,mae,log10(mol/L),0.8123763924399479,0.7690526951041071,0.8557000897757887,2.0955117304559443,1111
freesolv,random,rf,rmse,kcal/mol,2.2623507688318987,2.137859403054717,2.38684213460908,3.8448222046029534,642
freesolv,random,rf,mae,kcal/mol,1.5154594492510791,1.4720469606096631,1.558871937892495,3.8448222046029534,642
freesolv,random,svm,rmse,kcal/mol,1.8122693933341238,1.6979841455683444,1.9265546410999033,3.8448222046029534,642
freesolv,random,svm,mae,kcal/mol,1.1413363810387096,1.0971049329940712,1.185567829083348,3.8448222046029534,642
freesolv,random,gcn,rmse,kcal/mol,1.3007793457316763,1.2308003748334129,1.3707583166299397,3.8448222046029534,642
freesolv,random,gcn,mae,kcal/mol,0.8924553401232269,0.8427593378649233,0.9421513423815305,3.8448222046029534,642
freesolv,random,mat,rmse,kcal/mol,1.417126315866174,1.3366162299333066,1.4976364017990413,3.8448222046029534,642
freesolv,random,mat,mae,kcal/mol,1.0154357948683665,0.9593131803372111,1.0715584093995218,3.8448222046029534,642
freesolv,random,mat_nograph,rmse,kcal/mol,1.445466623026624,1.344618132449236,1.546315113604012,3.8448222046029534,642
freesolv,random,mat_nograph,mae,kcal/mol,1.0171574040760167,0.9454831349103835,1.08883167324165,3.8448222046029534,642
freesolv,random,mat_nodistance,rmse,kcal/mol,1.4605793508051506,1.3595689450290043,1.561589756581297,3.8448222046029534,642
freesolv,random,mat_nodistance,mae,kcal/mol,1.0431216262469396,0.9708449077495145,1.1153983447443647,3.8448222046029534,642
freesolv,random,mat_noattention,rmse,kcal/mol,1.7597439224789335,1.6703931097517828,1.849094735206084,3.8448222046029534,642
freesolv,random,mat_noattention,mae,kcal/mol,1.2941643822452291,1.2212107246561135,1.3671180398343445,3.8448222046029534,642
freesolv,random,hybrid,rmse,kcal/mol,1.4558268025764276,1.3899011406759907,1.5217524644768643,3.8448222046029534,642
freesolv,random,hybrid,mae,kcal/mol,0.9849564050567208,0.9554897997485201,1.0144230103649214,3.8448222046029534,642
freesolv,scaffold,svm,rmse,kcal/mol,2.2173423610251604,2.0037005107434873,2.430984211306834,3.8448222046029534,642
freesolv,scaffold,svm,mae,kcal/mol,1.4016646517547116,1.306299429867973,1.4970298736414502,3.8448222046029534,642
freesolv,scaffold,rf,rmse,kcal/mol,2.4912414363526585,2.2516479041007735,2.730834968604544,3.8448222046029534,642
freesolv,scaffold,rf,mae,kcal/mol,1.6011475408945315,1.4965438468358627,1.7057512349532,3.8448222046029534,642
freesolv,scaffold,gcn,rmse,kcal/mol,1.6387574632656763,1.478588899658279,1.7989260268730733,3.8448222046029534,642
freesolv,scaffold,gcn,mae,kcal/mol,1.1154356878961305,1.0227586552020702,1.2081127205901907,3.8448222046029534,642
freesolv,scaffold,mat,rmse,kcal/mol,1.6589936986920555,1.5385575638278461,1.7794298335562648,3.8448222046029534,642
freesolv,scaffold,mat,mae,kcal/mol,1.1302454595453624,1.05653133224684,1.2039595868438848,3.8448222046029534,642
freesolv,scaffold,mat_nograph,rmse,kcal/mol,1.7128754529321966,1.576116610606152,1.8496342952582414,3.8448222046029534,642
freesolv,scaffold,mat_nograph,mae,kcal/mol,1.1573396593454717,1.0708905464353184,1.2437887722556247,3.8448222046029534,642
freesolv,scaffold,mat_nodistance,rmse,kcal/mol,1.6305414858062364,1.5087213712953034,1.7523616003171694,3.8448222046029534,642
freesolv,scaffold,mat_nodistance,mae,kcal/mol,1.1109408038737245,1.0446383906632284,1.1772432170842204,3.8448222046029534,642
freesolv,scaffold,hybrid,rmse,kcal/mol,1.6820450119931105,1.5239334323425282,1.8401565916436928,3.8448222046029534,642
freesolv,scaffold,hybrid,mae,kcal/mol,1.0831103880187631,0.9960708277034508,1.1701499483340756,3.8448222046029534,642
freesolv,scaffold,mat_noattention,rmse,kcal/mol,1.833461454080144,1.655731669438617,2.0111912387216706,3.8448222046029534,642
freesolv,scaffold,mat_noattention,mae,kcal/mol,1.3514545419467185,1.238061377524502,1.4648477063689351,3.8448222046029534,642
