task,task_type,split,model,metric,n,mean,std,ci95_low,ci95_high,boot_ci95_low,boot_ci95_high,median,min,max
bbbp,clf,random,mat_large_pretrained,roc_auc,5,0.860636905627454,0.025948951379352277,0.8284170269085723,0.8928567843463356,0.8393630943725462,0.8794314381270905,0.8639304929475063,0.8211065871746401,0.8854515050167224
bbbp,clf,random,mat_large_pretrained,pr_auc,5,0.936984547849038,0.01446646308486321,0.9190220614552195,0.9549470342428564,0.9256586020523028,0.948310493645773,0.9369302762441652,0.9186367068969342,0.9512823256788449
bbbp,clf,random,mat_large_pretrained,f1,5,0.9092213251592918,0.015496441228897453,0.8899799519850893,0.9284626983334943,0.8967465753424658,0.920938981042654,0.9142857142857144,0.8904109589041096,0.9289099526066352
bbbp,clf,random,mat_large_scratch,roc_auc,5,0.8477097571615531,0.024728665678007057,0.8170050632655546,0.8784144510575516,0.8298022393485531,0.8657626872182638,0.8538970481314527,0.8220154136978334,0.8824705540206486
bbbp,clf,random,mat_large_scratch,pr_auc,5,0.9301137340852543,0.015196258273924602,0.911245087279116,0.9489823808913926,0.9184710643058219,0.941756403864687,0.9305560169331368,0.910774013965116,0.9485898371723532
bbbp,clf,random,mat_large_scratch,f1,5,0.8961427379837275,0.012127785895552797,0.8810841028592962,0.9112013731081587,0.8868013646131337,0.9055637087795672,0.8955696202531646,0.8823529411764706,0.9115191986644408
esol,reg,random,mat_large_pretrained,rmse,5,0.5307556044361909,0.04972887240512518,0.46900905389947817,0.5925021549729035,0.4912963590349603,0.5702148498374215,0.5362952239270691,0.4762112618309878,0.5854996508901424
esol,reg,random,mat_large_pretrained,mae,5,0.4140053870173112,0.036837447127170554,0.36826565513376874,0.4597451189008537,0.385556547669485,0.44245422636513754,0.4236255716824812,0.3729494723988354,0.4579978622349956
esol,reg,random,mat_large_pretrained,r2,5,0.6922349475796019,0.05167325862977108,0.6280741226691431,0.7563957724900607,0.6594996425013171,0.7376539119858383,0.680469850247549,0.648873860893876,0.7809543969316272
esol,reg,random,mat_large_scratch,rmse,5,0.5838451680229703,0.13368804568199208,0.4178495347094202,0.7498408013365203,0.5163896159910968,0.7047607356492096,0.5207801432428447,0.512181488684174,0.8218802305230934
esol,reg,random,mat_large_scratch,mae,5,0.4508330666591651,0.10796206525040015,0.3167804570660173,0.5848856762523129,0.3912978982348245,0.5469981930918173,0.4053728823370463,0.3798943946457513,0.640931212136547
esol,reg,random,mat_large_scratch,r2,5,0.6126170334852873,0.19867086640998383,0.3659345711720604,0.8592994957985142,0.44222977207566616,0.7211625731062519,0.7114822701337669,0.2627281067035992,0.734805560587469
freesolv,reg,random,mat_large_pretrained,rmse,5,0.4037310828269957,0.046346971034630105,0.34618371746750276,0.46127844818648867,0.36475493317612556,0.43585626063492755,0.4181068743453822,0.3295975715707239,0.4446181973642115
freesolv,reg,random,mat_large_pretrained,mae,5,0.3132113844019094,0.054570979900571255,0.24545256331266868,0.38097020549115007,0.26652934651735216,0.35129986068147206,0.3162697437111028,0.2241437445618501,0.3654279348353834
freesolv,reg,random,mat_large_pretrained,r2,5,0.8108657386253373,0.04741447048714572,0.7519928976275534,0.8697385796231212,0.7758785586362964,0.8517229135738755,0.8099302453327815,0.7592485308432156,0.8867323254593441
freesolv,reg,random,mat_large_scratch,rmse,5,0.4093115016202706,0.036793196580744786,0.3636267140471259,0.4549962891934153,0.38296506842387373,0.438639278966381,0.4057279362126291,0.37239870273472,0.4656462119741579
freesolv,reg,random,mat_large_scratch,mae,5,0.3020958055178959,0.021800210223201312,0.2750272693304731,0.32916434170531866,0.2858076079365934,0.3183840030991984,0.3129266461559621,0.2772189028589993,0.3264438475936997
freesolv,reg,random,mat_large_scratch,r2,5,0.8098097723835659,0.017012856668024674,0.7886855207522787,0.8309340240148531,0.7969784054493191,0.8226411393178126,0.8155205129793444,0.791489698163307,0.8309978747233979
estrogen-alpha,clf,random,mat_large_pretrained,roc_auc,5,0.9548792405416725,0.009660557127484377,0.9428840745538843,0.9668744065294607,0.9473195588440596,0.9626413513890828,0.9562159709618876,0.9419935781097304,0.9686234817813766
estrogen-alpha,clf,random,mat_large_pretrained,pr_auc,5,0.9470562540086875,0.010727209274615079,0.9337366644512004,0.9603758435661747,0.9375916647131268,0.9546598629078187,0.949823943228083,0.9309479937414318,0.959394990732585
estrogen-alpha,clf,random,mat_large_pretrained,f1,5,0.871916706743691,0.03139710926969912,0.8329320465158359,0.9109013669715462,0.8480392429297821,0.8965902946585895,0.8757894736842106,0.8373205741626795,0.9182389937106918
estrogen-alpha,clf,random,mat_large_scratch,roc_auc,5,0.9399134440876727,0.011179007161980604,0.9260328733589793,0.9537940148163662,0.9310449532318861,0.9483020382521291,0.939812229512774,0.925589836660617,0.9557098980873936
estrogen-alpha,clf,random,mat_large_scratch,pr_auc,5,0.922325394521532,0.015953481403744897,0.9025165310164887,0.9421342580265752,0.9078723000744826,0.9319639822684097,0.9273590522804314,0.8948827401952135,0.9348600665347476
estrogen-alpha,clf,random,mat_large_scratch,f1,5,0.859401403215068,0.019227457092849693,0.8355273619658689,0.8832754444642671,0.8455808182459663,0.874719392144151,0.8565488565488566,0.8382687927107062,0.889344262295082
estrogen-beta,clf,random,mat_large_pretrained,roc_auc,5,0.8866594827586207,0.019870250273888772,0.8619873083582346,0.9113316571590069,0.8727801724137929,0.9039870689655171,0.8837015086206895,0.8626346982758619,0.9164870689655172
estrogen-beta,clf,random,mat_large_pretrained,pr_auc,5,0.9062928942155815,0.02207993589589493,0.8788770327310017,0.9337087557001612,0.8884407799305478,0.9215005013720539,0.9129739916674252,0.871362569631591,0.9282525385754976
estrogen-beta,clf,random,mat_large_pretrained,f1,5,0.7239555446836201,0.32478243921254035,0.3206848826646055,1.1272262067026348,0.4309790159884718,0.8820809545411749,0.854251012145749,0.144,0.9006342494714588
estrogen-beta,clf,random,mat_large_scratch,roc_auc,5,0.8731034482758622,0.028794878618024218,0.8373498841632141,0.9088570123885102,0.8512715517241378,0.8949353448275863,0.8704202586206897,0.8337015086206897,0.9020204741379312
estrogen-beta,clf,random,mat_large_scratch,pr_auc,5,0.8887280855011721,0.037060142741809264,0.842711840490375,0.9347443305119693,0.8611543099027794,0.9162838815639749,0.9049455970439464,0.8400048170591687,0.9293709880823144
estrogen-beta,clf,random,mat_large_scratch,f1,5,0.8347803072284595,0.03968055342147552,0.7855103926162121,0.8840502218407069,0.8023275362771306,0.8636525378947899,0.8400770712909441,0.7703016241299304,0.8725099601593626
metstab-high,clf,random,mat_large_pretrained,roc_auc,5,0.7902762430939226,0.08195395635986896,0.6885169659715107,0.8920355202163346,0.7166961325966852,0.8335027624309392,0.8264088397790055,0.6449723756906078,0.8391160220994475
metstab-high,clf,random,mat_large_pretrained,pr_auc,5,0.3855498625160002,0.11440909394439851,0.24349220949812803,0.5276075155338724,0.2864304717058733,0.46861021990874213,0.4109427115998574,0.2034223117765506,0.5148334051700588
metstab-high,clf,random,mat_large_pretrained,f1,5,0.21382858941279567,0.1456909825725167,0.03292934148956933,0.394727837336022,0.10633046826036349,0.3154567430957439,0.2647058823529412,0.0,0.3835616438356164
metstab-high,clf,random,mat_large_scratch,roc_auc,5,0.7439116022099448,0.08708906390436369,0.6357762469226292,0.8520469574972603,0.6735801104972375,0.8033149171270718,0.7450828729281768,0.6050276243093923,0.8191160220994474
metstab-high,clf,random,mat_large_scratch,pr_auc,5,0.3450596166483726,0.12001810225595991,0.19603745994440894,0.4940817733523363,0.2541154851526052,0.43377787888401614,0.3853773692224189,0.1671953811075301,0.4788436215028223
metstab-high,clf,random,mat_large_scratch,f1,5,0.199009009009009,0.20941886654996603,-0.06101885813072286,0.4590368761487409,0.03333333333333332,0.3646846846846846,0.1666666666666666,0.0,0.45
metstab-low,clf,random,mat_large_pretrained,roc_auc,5,0.7591676201372998,0.02531393603175628,0.7277362171138348,0.7905990231607647,0.7402841342486651,0.7780511060259344,0.7428966437833714,0.7383199847444699,0.7871138443935927
metstab-low,clf,random,mat_large_pretrained,pr_auc,5,0.7823892676292578,0.020653410627601967,0.7567446712128454,0.8080338640456701,0.7670758946018733,0.7995982693594805,0.7822069879704664,0.7569884990228113,0.8111924569521567
metstab-low,clf,random,mat_large_pretrained,f1,5,0.7055906582616112,0.07808290482113699,0.608637926470034,0.8025433900531883,0.6350407736162229,0.7454175908235854,0.7417218543046358,0.5666666666666667,0.7483221476510067
