family,task,split,n_configs,val_roc_auc,config,val_rmse
rf,bbbp,random,8,0.9417792792792792,"{""class_weight"": ""balanced"", ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 500}",
rf,bbbp,scaffold,8,0.8970588235294117,"{""class_weight"": ""balanced"", ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 500}",
rf,esol,random,4,,"{""max_features"": 0.3, ""min_samples_leaf"": 1, ""n_estimators"": 500}",0.6098853363576449
rf,esol,scaffold,4,,"{""max_features"": 0.3, ""min_samples_leaf"": 1, ""n_estimators"": 500}",0.5141842194333213
rf,freesolv,random,4,,"{""max_features"": 0.3, ""min_samples_leaf"": 3, ""n_estimators"": 500}",0.8666994287295097
rf,freesolv,scaffold,4,,"{""max_features"": 0.3, ""min_samples_leaf"": 1, ""n_estimators"": 500}",0.4593310355614923
rf,estrogen-alpha,random,8,0.9797979797979798,"{""class_weight"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 3, ""n_estimators"": 500}",
rf,estrogen-alpha,scaffold,8,0.9684095860566448,"{""class_weight"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 3, ""n_estimators"": 500}",
rf,estrogen-beta,random,8,0.9644657258064516,"{""class_weight"": ""balanced"", ""max_features"": 0.3, ""min_samples_leaf"": 1, ""n_estimators"": 500}",
rf,estrogen-beta,scaffold,8,0.9368923611111112,"{""class_weight"": ""balanced"", ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 500}",
rf,metstab-high,random,8,0.923103448275862,"{""class_weight"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 500}",
rf,metstab-high,scaffold,8,0.9165517241379312,"{""class_weight"": ""balanced"", ""max_features"": 0.3, ""min_samples_leaf"": 3, ""n_estimators"": 500}",
rf,metstab-low,random,8,0.8464115544967242,"{""class_weight"": null, ""max_features"": 0.3, ""min_samples_leaf"": 3, ""n_estimators"": 500}",
rf,metstab-low,scaffold,8,0.8994922341696535,"{""class_weight"": null, ""max_features"": 0.3, ""min_samples_leaf"": 3, ""n_estimators"": 500}",
svm,bbbp,random,6,0.9565315315315316,"{""C"": 10.0, ""class_weight"": ""balanced""}",
svm,bbbp,scaffold,6,0.8867757629367536,"{""C"": 1.0, ""class_weight"": ""balanced""}",
svm,esol,random,9,,"{""C"": 10.0, ""epsilon"": 0.05}",0.5786249912016137
svm,esol,scaffold,9,,"{""C"": 10.0, ""epsilon"": 0.05}",0.4635153538778947
svm,freesolv,random,9,,"{""C"": 10.0, ""epsilon"": 0.05}",0.787134666577894
svm,freesolv,scaffold,9,,"{""C"": 10.0, ""epsilon"": 0.05}",0.303178091835866
svm,estrogen-alpha,random,6,0.9745845552297164,"{""C"": 1.0, ""class_weight"": null}",
svm,estrogen-alpha,scaffold,6,0.9748366013071896,"{""C"": 1.0, ""class_weight"": ""balanced""}",
svm,estrogen-beta,random,6,0.961021505376344,"{""C"": 1.0, ""class_weight"": ""balanced""}",
